trait1,trait2,r,pval
NIROil,Ni60,-0.0450484165076741,0.501390189144009
NIROil,Mo98,-0.0192313622268566,0.774196360436321
NIROil,Se82,-0.00781987919194913,0.907140074853412
NIROil,Mn55,0.0569950139201648,0.39484972057654
NIROil,Al27,0.0750083425643627,0.262527352467876
NIROil,Co59,0.0829096163533193,0.215400526152941
NIROil,Cu65,0.0846517621863098,0.205880005710432
NIROil,S34,0.085688094832846,0.200362706490583
NIROil,Ca43,0.09375584885823,0.161036568946972
NIROil,Sr88,0.125180635208096,0.0608434231587133
NIROil,Fe57,0.134552925878342,0.0437759144101132
NIROil,Zn66,0.148838333503453,0.0255759920466008
NIROil,Na23,0.152266405422432,0.0223355580298499
NIROil,Mg25,0.160229966523899,0.0161447802432702
NIROil,Rb85,0.168451991545463,0.0113797041511106
NIROil,P31,0.178648531484558,0.00722161497718535
NIROil,Cd111,0.18279700027395,0.00596150561237869
NIROil,B11,0.195852446459326,0.00317725346558747
NIROil,K39,0.200144188969075,0.00256118818803161
NIROil,As75,0.285465794512896,1.36775804265891e-05
NIRProtein,Cd111,-0.0734006692822295,0.272922489248435
NIRProtein,Rb85,-0.0266696569292641,0.690713137177265
NIRProtein,Ca43,0.00211911982097179,0.974783239094724
NIRProtein,Se82,0.00566917631457208,0.932607479570636
NIRProtein,Ni60,0.0164408417002499,0.806258513604614
NIRProtein,Sr88,0.0373404996578479,0.577402969746584
NIRProtein,Cu65,0.0575863545292164,0.389955635446002
NIRProtein,Co59,0.0578122008042209,0.38809618393553
NIRProtein,Al27,0.0612487398596809,0.360468445863775
NIRProtein,Na23,0.0855462458136864,0.201111494068522
NIRProtein,K39,0.118558277662145,0.075941902529478
NIRProtein,As75,0.126627935331196,0.0578965128892383
NIRProtein,B11,0.133697461608048,0.0451456782261109
NIRProtein,Mo98,0.166291481823307,0.0124933050006673
NIRProtein,Mn55,0.198250606790353,0.00281822473037816
NIRProtein,Zn66,0.263890417584075,6.13445675767284e-05
NIRProtein,S34,0.281839231740289,1.77585039772381e-05
NIRProtein,Fe57,0.30984631353601,2.14826592469537e-06
NIRProtein,Mg25,0.337448930126735,2.14313479932933e-07
NIRProtein,P31,0.416499639461658,7.4670670970048e-11
NIRStarch,P31,-0.321817307342635,8.1303659663406e-07
NIRStarch,Mg25,-0.235578084758973,0.000364849196973157
NIRStarch,Mn55,-0.229461353906803,0.00052210115893761
NIRStarch,Ca43,-0.212559641982341,0.00133955797722984
NIRStarch,Zn66,-0.207023013233032,0.00179663479270935
NIRStarch,As75,-0.201189188906959,0.00242863949727587
NIRStarch,Sr88,-0.196261398758755,0.0031132418738536
NIRStarch,Fe57,-0.195841230238696,0.00317902576057543
NIRStarch,K39,-0.174187402492194,0.00883677857564628
NIRStarch,Co59,-0.157383574417593,0.0181596917664122
NIRStarch,S34,-0.157348266720734,0.0181860003802922
NIRStarch,B11,-0.152494075972236,0.0221335037368789
NIRStarch,Na23,-0.140577529454928,0.0350834196687099
NIRStarch,Cd111,-0.0964628052873573,0.149232327561777
NIRStarch,Rb85,-0.0917431032193683,0.170257928314549
NIRStarch,Al27,-0.0727913831211648,0.276934205757139
NIRStarch,Cu65,-0.0640415154779491,0.338943794621468
NIRStarch,Ni60,-0.0188371887810915,0.778703515225791
NIRStarch,Se82,-0.00973459039773937,0.884545861149258
NIRStarch,Mo98,-0.00658136670023936,0.921795947110628
TotalKernelVolume,Zn66,-0.225330709609458,0.000719606069381607
TotalKernelVolume,Fe57,-0.175384908463607,0.00882516395561752
TotalKernelVolume,As75,-0.133273308385684,0.0473256621727927
TotalKernelVolume,P31,-0.12424758460898,0.0646076134334132
TotalKernelVolume,Mn55,-0.118174634890764,0.0789205208435821
TotalKernelVolume,Cd111,-0.110072583768653,0.101889771547354
TotalKernelVolume,Al27,-0.0807803403903418,0.230619177649218
TotalKernelVolume,Na23,-0.0747805137451213,0.267228014003657
TotalKernelVolume,Co59,-0.0715483485662705,0.288513082239076
TotalKernelVolume,Mg25,-0.0697928718429277,0.300536814647106
TotalKernelVolume,Cu65,-0.0549195988804458,0.415485180092257
TotalKernelVolume,B11,-0.023303731421458,0.729865432877136
TotalKernelVolume,K39,-0.0186902449363135,0.781833484186813
TotalKernelVolume,Ni60,-0.00680493120502017,0.919693368218041
TotalKernelVolume,Se82,0.0237066023734308,0.725381469175834
TotalKernelVolume,Ca43,0.0261584196885653,0.698298921441807
TotalKernelVolume,Sr88,0.0284094225217131,0.67376511376742
TotalKernelVolume,S34,0.0429346440280126,0.524519661567593
TotalKernelVolume,Mo98,0.0715456316421952,0.288531438771795
TotalKernelVolume,Rb85,0.0763455748287159,0.257316794589122
X20KernelWeight,Na23,-0.387155614380641,1.32085738756616e-09
X20KernelWeight,Al27,-0.368316889336281,9.11458010479722e-09
X20KernelWeight,As75,-0.323619326844841,5.56281279731759e-07
X20KernelWeight,Co59,-0.278164496277441,1.94640885702105e-05
X20KernelWeight,B11,-0.277412821623256,2.05403643667626e-05
X20KernelWeight,Zn66,-0.256161321701972,8.82439518757266e-05
X20KernelWeight,Mn55,-0.205141889307644,0.00180465730672857
X20KernelWeight,P31,-0.200786417300553,0.00226585441118738
X20KernelWeight,Mg25,-0.18450423805776,0.00509660892945528
X20KernelWeight,Mo98,-0.169383592527624,0.0102348110822095
X20KernelWeight,Sr88,-0.147982531827351,0.0251252370352799
X20KernelWeight,Fe57,-0.147325143563082,0.0257864367534003
X20KernelWeight,Se82,-0.109864636917036,0.0972206580233286
X20KernelWeight,S34,-0.104552886186294,0.114602014055011
X20KernelWeight,Ca43,-0.0962957198657827,0.146328667861088
X20KernelWeight,Cu65,-0.0596556174139062,0.368858404519784
X20KernelWeight,Cd111,-0.0374893485425636,0.572474633734407
X20KernelWeight,Ni60,-0.0334269979086093,0.614813245540416
X20KernelWeight,K39,0.0109646550558775,0.868926421301243
X20KernelWeight,Rb85,0.0375047596390734,0.572316667617
