pedigree,era_inbred,era_inbred_year,B11,Na23,Mg25,Al27,P31,S34,K39,Ca43,Mn55,Fe57,Co59,Ni60,Cu65,Zn66,As75,Se82,Rb85,Sr88,Mo98,Cd111
A619,PI 587139,1961,4.450514775,2.795763325,1375.007101,0.590455094,2824.978805,1096.410486,3767.76615,57.30022043,6.570415541,26.00962331,0.001923585,0.243010766,2.116523827,27.97568765,0.014162168,1.173049769,1.320177798,0.13331817,0.267258344,0.028452529
A632,PI 587140,1964,4.380392461,3.448980116,1449.21411,0.802872043,3672.690155,1263.770642,3837.747934,48.87992083,6.206690132,15.37757332,0.00092236,0.164795416,1.032301396,18.42790974,0.014749961,1.827228107,1.166154343,0.191042436,0.208033248,0.015874347
B14A,PI 550461,1962,3.835852039,2.841096998,1377.052665,0.842434896,3709.330117,1396.797113,4127.761817,41.863668,6.49793487,18.36445728,0.001460795,0.261109229,1.646361858,18.26102382,0.020551663,1.716524655,1.260092226,0.075848999,0.147670768,0.035164308
B37,PI 550467,1958,4.171424158,1.89446997,1498.003802,0.626458359,2976.592789,1166.717522,3334.992976,77.63042794,6.705684003,20.08953828,0.001111564,0.455928938,3.025618884,21.56567891,0.010208897,1.984627132,0.875461102,0.248276897,0.291298628,0.097159833
B57,PI 550472,1963,4.573470638,3.653071277,1621.692464,0.729776555,3286.690006,1187.531363,4639.500493,69.03753948,7.666458833,22.28058275,0.001182568,0.315831839,2.399879066,20.61141234,0.015284949,1.386189227,1.69681561,0.245975413,0.475648412,0.018038325
B73,PI 550473,1972,4.17852216,2.869450311,1194.817942,0.861963301,3108.070285,1154.262796,4237.735658,47.06956546,4.805987579,20.77349173,0.00119378,0.203731656,1.544853806,23.66847622,0.013681401,1.489971331,1.457170745,0.13533963,0.230179455,0.017374751
B77,PI 608765,1974,4.800577322,1.641732121,1182.188054,0.827963731,3308.039015,1032.950706,4528.728974,57.94535977,5.004995125,19.88812376,0.001251786,0.288606919,1.757754867,20.59899079,0.013202872,0.905883963,2.047599356,0.122565122,0.325787413,0.051044805
B79,PI 608766,1975,4.397186756,2.931762991,1537.271498,0.783528658,3646.715473,1251.473457,3989.291741,80.15128766,6.41609988,18.38596617,0.001265817,0.205727559,2.043446752,22.59207598,0.014478898,1.775524798,1.699615714,0.234745806,0.300020661,0.01436575
B84,PI 608767,1978,4.740871116,2.43224714,1199.635377,0.882325939,2911.846337,1207.046999,4280.356577,48.94374542,6.660600414,20.23101367,0.001320412,0.255044262,0.751585163,23.99252384,0.015837005,1.169610205,1.445925709,0.082291743,0.268914352,0.026701623
C103,Ames 19284,1949,4.473271791,1.819132341,1245.711189,0.611644904,3815.662231,1062.280991,3937.983506,62.98881706,5.686853964,21.20640105,0.002034302,0.170498432,2.498073565,21.00309097,0.017172306,2.756438218,1.528907933,0.096269382,0.373671549,0.059894445
CI31A,Ames 21512,1956,3.637782294,3.554318682,1374.826386,0.732879469,3604.568896,1156.989867,3614.958874,63.20900607,5.994327445,27.8054487,0.000999247,0.198602552,2.297933216,16.4110519,0.01261813,0.980664216,2.870107202,0.122810389,0.287282825,0.015398881
M14,NSL 30867,1941,4.669700202,4.22352856,1400.23049,1.071913118,3731.046149,1264.180781,3414.83407,113.5845028,6.015197648,17.74903746,0.001295169,0.24121263,2.038981991,22.67054316,0.01776241,1.937395894,1.177895152,0.276868292,0.284752027,0.020193958
Mo17,PI 558532,1964,4.426261458,2.412529931,1252.625973,0.710746362,3299.074479,1052.153575,4048.645016,44.04604568,6.226927297,21.15176026,0.001236492,0.105439387,2.314016761,22.09968763,0.013157639,1.604037073,1.453695493,0.116742748,0.418445233,0.044737418
Oh43,Ames 19288,1949,4.636550428,4.175194509,1350.851966,0.784165368,2774.917633,1088.625975,3684.681471,45.66872261,5.825774826,19.38633061,0.001441741,0.31776956,1.888217727,22.62367505,0.013189503,1.626201922,1.973356109,0.124988843,0.359118671,0.032234764
Os420,NSL 65874,1937,4.796809221,3.369113928,1583.796701,0.729722219,3874.719229,1118.928812,4075.807788,71.40541655,8.822601611,25.00073608,0.001155879,0.371148736,1.881783425,28.53256536,0.01407222,1.227830936,1.275954882,0.170976521,0.434494728,0.023781096
Va22,Ames 19328,1975,4.474207234,2.890549746,1560.944694,0.781720894,3958.106286,1327.696282,3931.849132,51.54701379,9.338154941,23.22705223,0.001120591,0.215380301,4.053627111,28.38665262,0.013987512,1.647289358,1.390396692,0.080340995,0.334466249,0.013383727
Va26,PI 587149,1967,3.538042579,1.740869723,1333.907411,0.608515701,3324.771213,1136.5097,4331.728211,39.37580094,4.258805544,23.00036652,0.00115399,0.226653495,1.29809056,22.19258276,0.012926619,2.26354598,2.146323438,0.078057304,0.362290703,0.014144865
Wf9,Ames 19293,1936,4.256849321,1.829472238,1271.708499,0.551155511,3296.099317,1255.520497,4270.108219,34.36589443,6.228594851,24.35790273,0.001523284,0.51385025,1.683849182,22.8148119,0.016424381,1.641164584,1.942747597,0.058782295,0.150546263,0.02794549
