I,year,row,pedigree,genotype,note,field,experiment,pheno,G,K,DNA,field_note
JY,2018,1001,Ames 27093,CML311,,Havelock,282+N-N,yes,,35,No,
JY,2018,1002,Ames 27093,CML311,,Havelock,282+N-N,yes,,35,No,
JY,2018,1003,PI 406112,A214N,,Havelock,282+N-N,yes,,35,No,
JY,2018,1004,PI 406112,A214N,,Havelock,282+N-N,yes,,35,No,
JY,2018,1005,PI 595565,CML287,,Havelock,282+N-N,yes,,35,No,
JY,2018,1006,PI 595565,CML287,,Havelock,282+N-N,yes,,35,No,
JY,2018,1007,Ames 27094,CML314,,Havelock,282+N-N,yes,,35,No,
JY,2018,1008,Ames 27094,CML314,,Havelock,282+N-N,yes,,35,No,
JY,2018,1009,Ames 27102,CML341,,Havelock,282+N-N,yes,,35,No,
JY,2018,1010,Ames 27102,CML341,,Havelock,282+N-N,yes,,35,No,
Raghu,2018,1011,8000066,LH38,,Havelock,Era Inbred,yes,,20,NA,
Raghu,2018,1012,8000066,LH38,,Havelock,Era Inbred,yes,,20,NA,
JY,2018,1013,check2,B37xMo17,,Havelock,282+N-N,yes,,35,No,
JY,2018,1014,check2,B37xMo17,,Havelock,282+N-N,yes,,35,No,
JY,2018,1015,Ames 27088,CML228,,Havelock,282+N-N,yes,,35,No,
JY,2018,1016,Ames 27088,CML228,,Havelock,282+N-N,yes,,35,No,
JY,2018,1017,Ames 10248,GA209,,Havelock,282+N-N,yes,,35,No,
JY,2018,1018,Ames 10248,GA209,,Havelock,282+N-N,yes,,35,No,
JY,2018,1019,Ames 27144,NC296,,Havelock,282+N-N,yes,,35,No,
JY,2018,1020,Ames 27144,NC296,,Havelock,282+N-N,yes,,35,No,
JY,2018,1021,Ames 27080,CML92,,Havelock,282+N-N,yes,,35,No,
JY,2018,1022,Ames 27080,CML92,,Havelock,282+N-N,yes,,35,No,
JY,2018,1023,PI 587144,Mo24W,,Havelock,282+N-N,yes,,35,No,
JY,2018,1024,PI 587144,Mo24W,,Havelock,282+N-N,yes,,35,No,
JY,2018,1025,check2,B37xMo17,,Havelock,282+N-N,yes,,35,No,
JY,2018,1026,check2,B37xMo17,,Havelock,282+N-N,yes,,35,No,
Raghu,2018,1027,NA,Os426,,Havelock,Era Inbred,yes,,20,NA,
Raghu,2018,1028,NA,Os426,,Havelock,Era Inbred,yes,,20,NA,
JY,2018,1029,Ames 27079,CML91,,Havelock,282+N-N,yes,,35,No,
JY,2018,1030,Ames 27079,CML91,,Havelock,282+N-N,yes,,35,No,
Raghu,2018,1031,8800193,2MA22,,Havelock,Era Inbred,yes,,20,NA,
Raghu,2018,1032,8800193,2MA22,,Havelock,Era Inbred,yes,,20,NA,
JY,2018,1033,Ames 27189,SC55,,Havelock,282+N-N,yes,,35,No,
