"","Year","pedigree","era_inbred","era_inbred_year","znum","PlotID","pop","SampleWeight","B11","Na23","Mg25","Al27","P31","S34","K39","Ca43","Mn55","Fe57","Co59","Ni60","Cu65","Zn66","As75","Se82","Rb85","Sr88","Mo98","Cd111"
"191",2009,"Wf9","Ames 19293","1936","Z027E0279","09IN5014",27,327,5.374565513,3.247191741,1485.851428,2.235568318,3235.435801,1288.786456,4022.186744,54.25865131,6.973570631,26.2102981,0.001126622,0.490981015,1.907220798,21.30433666,0.012948145,1.843514938,2.013663022,0.084624284,0.102416949,0.024491611
"192",2009,"Wf9","Ames 19293","1936","Z027E0279","09IN5014",27,202.43,4.046019146,3.038234195,1189.869152,0.575168997,3576.481308,1239.072576,4160.918422,45.98282714,6.267475525,24.04204673,0.001591816,0.516544983,1.72565482,20.63604086,0.018790496,1.255316781,2.369290396,0.090948316,0.125158329,0.034820118
"1227",2009,"Wf9","Ames 19293","1936","Z027E0279","09IN5014",27,260.002,4.129487204,0.94323335,1296.974693,0.499448457,3356.588075,1153.74221,4128.63313,24.10128561,5.79508851,23.11051685,0.001272184,0.480946764,1.766224877,20.2196378,0.015002062,1.23970293,2.156309028,0.028382384,0.099809361,0.02498209
"1228",2009,"Wf9","Ames 19293","1936","Z027E0279","09IN5014",27,309.636,4.495898037,1.00445596,1364.408122,0.463527542,2835.883556,1317.237184,4327.002546,33.01357053,6.623220519,25.6203548,0.001028975,0.544059003,1.374507612,22.14364108,0.012555174,1.258412814,2.257787508,0.057016185,0.114196741,0.024034261
"545",2009,"Os420","NSL 65874","1937","Z027E0230","09IN4986",27,304.551,5.504898821,3.291861553,1751.286315,0.858893738,4389.210654,1119.348501,4521.655338,67.70013291,9.783600017,26.67659814,0.000963361,0.366927821,1.911365301,30.48590596,0.013062203,1.053841607,2.010541145,0.119683367,0.47825604,0.01513095
"546",2009,"Os420","NSL 65874","1937","Z027E0230","09IN4986",27,266.562,4.741679175,4.200649452,1757.140852,0.684090822,4420.20937,1096.596952,4591.051446,99.28959858,11.60966822,26.79413295,0.001049986,0.376322203,2.224130531,27.08251214,0.015016255,0.951225611,2.014956041,0.181668014,0.358101999,0.02047465
"842",2010,"Os420","NSL 65874","1937","Z027E0230","10PU4046",27,291.094,5.467828852,1.303735317,1736.259739,0.509734265,4878.350594,1288.345765,4522.814126,79.99596866,8.969356535,24.16628863,0.001200906,0.466682964,2.029858519,30.5099097,0.012695041,1.409434342,0.784602362,0.219149522,0.514742482,0.015134337
"843",2010,"Os420","NSL 65874","1937","Z027E0230","10PU4046",27,253.599,4.609092641,3.310399259,1622.655669,0.694667057,4151.42819,1079.372152,4251.959279,56.79040083,7.862922922,25.30734924,0.001414437,0.404859198,2.040463149,28.03580929,0.013120734,1.084751976,0.804837774,0.109273519,0.594538962,0.011292717
"1513",2009,"Os420","NSL 65874","1937","Z027E0230","09IN4986",27,323.64,4.203469466,2.425699679,1674.458698,0.492854949,3327.25823,987.6421447,3860.199838,67.66139526,9.340406695,25.70040651,0.000781374,0.331172959,1.805886084,27.92833987,0.011665956,0.824614992,1.713719066,0.184785756,0.389787847,0.019689706
"1514",2009,"Os420","NSL 65874","1937","Z027E0230","09IN4986",27,349.244,4.310548469,3.132531476,1777.952202,0.652594053,3610.843459,1070.228497,4137.882515,92.14070721,10.24858809,30.01443596,0.001033708,0.362314098,1.905657261,28.45079912,0.011458507,1.070602702,1.739353613,0.297062847,0.416351041,0.010209073
"1798",2010,"Os420","NSL 65874","1937","Z027E0230","10PU4046",27,168.258,5.700279004,5.888856931,1119.829583,1.393725492,2769.899329,1096.025714,3033.202453,81.7754837,7.977256667,21.42948749,0.001820121,0.372981903,1.536516471,24.69932725,0.022719491,1.313480019,0.621931482,0.193332942,0.543909843,0.013605451
"1799",2010,"Os420","NSL 65874","1937","Z027E0230","10PU4046",27,309.171,3.836677343,3.399177755,1230.790549,0.551217372,3450.554008,1213.870768,3687.697307,25.88964525,4.789013745,19.91718974,0.000983142,0.287928739,1.600390082,31.06791954,0.012839576,2.114696239,0.517697574,0.062856201,0.180269612,0.084711884
